Structure;5-5;1-1;5-5;
FFIRN/FUDN;1115/2;1025/2;1115/3;
FUD Name;RADAR COVERAGE AT HIGH LEVEL;HYPHEN;RADAR COVERAGE AT LOW LEVEL;
