Structure;3-3;3-4;1-1;3-3;3-4;;;
FFIRN/FUDN;1255/4;1130/9;1025/2;1255/5;1130/9;;;
FUD Name;MINIMUM ALTITUDE, HUNDREDS OF FEET;ALTITUDE REFERENCE QUALIFIER;HYPHEN;MAXIMUM ALTITUDE, HUNDREDS OF FEET;ALTITUDE REFERENCE QUALIFIER;;;
