Structure;1-1;1-2;1-1;1-1;1-2;;;
FFIRN/FUDN;1246/14;1246/15;1025/2;1246/14;1246/15;;;
FUD Name;SHIP ALPHABETIC IDENTIFIER;POINT ALPHABETIC IDENTIFIER;HYPHEN;SHIP ALPHABETIC IDENTIFIER;POINT ALPHABETIC IDENTIFIER;;;
