Structure;1-1;1-1;4-4;1-1;1-1;1-1;2-2;1-1;5-5;;;
FFIRN/FUDN;1343/12;1025/2;1029/5;1025/2;1670/5;1025/2;1026/17;1025/2;1012/269;;;
FUD Name;UNIT INDICATOR;HYPHEN;RECORD ORIGINATOR;HYPHEN;ORDER OF BATTLE INDICATOR;HYPHEN;ALLEGIANCE;HYPHEN;UNIT ACCESSION NUMBER;;;
