Structure;4-8;1-1;3-5;
FFIRN/FUDN;1128/13;1025/4;1128/3;
FUD Name;SECTOR NUMBER ALPHABETIC;BLANK SPACE CHARACTER;PHONETIC NUMERIC IDENTIFIER;
