Structure;1-1;1-1;1-1;1-1;1-1;1-1;1-1;
FFIRN/FUDN;1844/1;1844/2;1844/3;1844/4;1844/5;1844/6;1844/7;
FUD Name;R BAND SUSCEPTIBILITY RADHAZ DESIGNATOR;T BAND SUSCEPTIBILITY RADHAZ DESIGNATOR;U BAND SUSCEPTIBILITY RADHAZ DESIGNATOR;V BAND SUSCEPTIBILITY RADHAZ DESIGNATOR;W BAND SUSCEPTIBILITY RADHAZ DESIGNATOR;Y BAND SUSCEPTIBILITY RADHAZ DESIGNATOR;Z BAND SUSCEPTIBILITY RADHAZ DESIGNATOR;
