FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;CALL SIGN;1-38;Instructive;;1.0;In Service;03 Dec 07
2;DROP ZONE CALL SIGN;1-20;Instructive;;1.0;In Service;03 Dec 07
3;INTERNATIONAL RADIO CALL SIGN;4-8;Instructive;;1.0;In Service;03 Dec 07
4;BROADCAST CALL SIGN;1-6;Instructive;EG:AZMK.;1.0;In Service;03 Dec 07
5;CONVOY CALL SIGN;4-4;Integer;;1.0;In Service;03 Dec 07
6;AMSH 1707 CALL SIGN;3-3;Instructive;THIS IS THE THREE-CHARACTER CALL SIGN AS SPECIFIED IN AMSH 1707.;1.0;In Service;03 Dec 07
7;SHIP CALL SIGN;1-20;Instructive;;1.0;In Service;03 Dec 07
8;ANTI-AIR WARFARE CALL SIGN;1-2;Alphanumeric;;1.0;In Service;03 Dec 07
9;AIRCRAFT CALL SIGN;1-38;Instructive;;1.0;In Service;03 Dec 07
10;CALL SIGN OF CONTROL AGENCY;1-15;Instructive;;1.0;In Service;03 Dec 07
11;SEARCH AND RESCUE OBJECTIVE CALL SIGN;1-12;Instructive;;1.0;In Service;03 Dec 07
12;CALL SIGN OF SAR UNIT;1-17;Instructive;;1.0;In Service;03 Dec 07
13;AEW CALL SIGN;1-20;Instructive;THE CALL SIGN USED BY THE AEW AIRCRAFT.;1.0;In Service;03 Dec 07
14;TARGET CALL SIGN;1-16;Instructive;;1.0;In Service;03 Dec 07
15;GROUNDSITE CALL SIGN;1-38;Instructive;THE CALL SIGN OF A GROUNDSITE UNIT.;1.0;In Service;03 Dec 07
16;TACON CALL SIGN;1-20;Instructive;TACTICAL CONTROL AUTHORITY CALL SIGN.;1.0;In Service;03 Dec 07
17;ISOLATED PERSONNEL CALL SIGN;1-38;Instructive;;1.0;In Service;03 Dec 07
19;CONTROLLED AIRCRAFT CALL SIGN;1-38;Instructive;;1.0;In Service;03 Dec 07
20;NAVAL FORCE CALL SIGN;1-28;Instructive;;1.0;In Service;03 Dec 07
21;MISSION CALL SIGN;1-38;Instructive;;1.0;In Service;03 Dec 07
22;CONVOY COMMODORE CALL SIGN;1-28;Instructive;;1.0;In Service;03 Dec 07
23;CONVOY VICE COMMODORE CALL SIGN;1-28;Instructive;;1.0;In Service;03 Dec 07
24;OTC CALL SIGN;1-28;Instructive;;1.0;In Service;03 Dec 07
25;ALTERNATE OTC CALL SIGN;1-28;Instructive;;1.0;In Service;03 Dec 07
27;CALL SIGN (WITHOUT BLANKS);1-38;Instructive;;1.0;In Service;03 Dec 07
28;ASSISTED UNIT CALL SIGN;1-38;Instructive;;1.0;In Service;03 Dec 07
29;HELICOPTER CALL SIGN;1-20;Instructive;;1.0;In Service;03 Dec 07
31;CONTACT CALL SIGN;1-20;Instructive;THE CALL SIGN OF THE UNIT TO BE CONTACTED.;1.0;In Service;03 Dec 07
