Structure;5-5;1-1;1-2;
FFIRN/FUDN;1439/6;1025/1;1061/4;
FUD Name;DIRECTION IN DEGREES TRUE, 1 DECIMAL PLACE;DELIMITER;UNIT SPEED IN KNOTS;
