Structure;5-5;1-1;5-5;
FFIRN/FUDN;1625/37;1025/2;1625/38;
FUD Name;IJMS TRACK NUMBER BLOCK, LOWER LIMIT;HYPHEN;IJMS TRACK NUMBER BLOCK, UPPER LIMIT;
