Structure;1-5;2-2;;
FFIRN/FUDN;1023/19;1008/18;;
FUD Name;CONTEXT QUANTITY, 0-4 DECIMAL PT PERMITTED;UNIT OF ELECTROMAGNETIC EMISSION MEASUREMENT, HERTZ;;
