Structure;4-4;2-2;2-2;2-2;2-2;2-2;;
FFIRN/FUDN;1005/7;1004/2;1000/1;1001/1;1002/1;1683/1;;
FUD Name;YEAR;MONTH, NUMERIC;DAY;HOUR (TIME);MINUTE (TIME);SECOND (TIME);;
