Structure;1-4;1-1;1-2;
FFIRN/FUDN;1390/2;1025/2;1008/4;
FUD Name;CONTEXT QUANTITY, K OR M PERMITTED, 4 CHARACTER MAX;HYPHEN;UNIT OF LINEAR MEASUREMENT;
