Structure;1-3;1-1;1-3;1-1;1-2;;;
FFIRN/FUDN;1023/5;1025/2;1023/5;1025/2;1023/34;;;
FUD Name;CONTEXT QUANTITY, 0-999;HYPHEN;CONTEXT QUANTITY, 0-999;HYPHEN;CONTEXT QUANTITY, 0-99;;;
