Structure;4-4;2-2;2-2;1-1;2-2;2-2;2-2;1-1
FFIRN/FUDN;1005/1;1004/2;1000/1;1025/9;1001/1;1002/1;1683/1;1003/2
FUD Name;YEAR, 4 DIGIT;MONTH, NUMERIC;DAY;TIME DELIMITER;HOUR (TIME);MINUTE (TIME);SECOND (TIME);TIME ZONE ZULU
