Structure;2-2;2-2;2-2;2-2;2-2;2-2;2-2;
FFIRN/FUDN;1846/1;1846/2;1846/3;1846/4;1846/5;1846/6;1846/7;
FUD Name;R BAND TRANSMITTER RADHAZ DESIGNATOR;T BAND TRANSMITTER RADHAZ DESIGNATOR;U BAND TRANSMITTER RADHAZ DESIGNATOR;V BAND TRANSMITTER RADHAZ DESIGNATOR;W BAND TRANSMITTER RADHAZ DESIGNATOR;Y BAND TRANSMITTER RADHAZ DESIGNATOR;Z BAND TRANSMITTER RADHAZ DESIGNATOR;
