Structure;1-4;3-3;;
FFIRN/FUDN;1023/18;1008/25;;
FUD Name;CONTEXT QUANTITY, 0-3 DECIMAL PT PERMITTED;UNIT OF ANGULAR SPEED VELOCITY MEASUREMENT, TPK;;
