Structure;1-5;1-1;1-5;
FFIRN/FUDN;1389/7;1025/2;1389/7;
FUD Name;AIRSPACE CONTROL MEANS IDENTIFIER;HYPHEN;AIRSPACE CONTROL MEANS IDENTIFIER;
