Structure;2-10;2-2;1-1;2-2
FFIRN/FUDN;1373/3;1072/3;1025/2;1072/3
FUD Name;SUBMARINE READING ROUTINE SLOT;BROADCAST SLOT TIME IN MINUTES;HYPHEN;BROADCAST SLOT TIME IN MINUTES
