Structure;1-3;1-1;1-3;1-1;1-2;2-2;1-1;
FFIRN/FUDN;1023/5;1025/7;1023/5;1025/7;1023/34;1008/82;1023/13;
FUD Name;CONTEXT QUANTITY, 0-999;DISTANCE DELIMITER;CONTEXT QUANTITY, 0-999;DISTANCE DELIMITER;CONTEXT QUANTITY, 0-99;UNITS OF LINEAR MEASUREMENT, NAUTICAL MILES;CONTEXT QUANTITY, 0-9;
