Structure;2-2;2-2;1-1;1-1
FFIRN/FUDN;1685/4;1685/5;1055/15;1047/25
FUD Name;LOWEST METEOROLOGICAL ALTITUDE BAND;HIGHEST METEOROLOGICAL ALTITUDE BAND;DAYS SUPPORT REQUESTED;INTERVAL BETWEEN MET MESSAGES IN HOURS
