Structure;5-5;1-1;5-5;
FFIRN/FUDN;1625/13;1025/2;1625/14;
FUD Name;ATDL-1 TRACK NUMBER BLOCK, LOWER LIMIT;HYPHEN;ATDL-1 TRACK NUMBER BLOCK, UPPER LIMIT;
