Structure;1-1;1-1;4-4;1-1;4-4;1-1;5-5;
FFIRN/FUDN;1343/11;1025/2;1005/7;1025/2;1029/5;1025/2;1012/270;
FUD Name;EVENT INDICATOR;HYPHEN;YEAR;HYPHEN;RECORD ORIGINATOR;HYPHEN;EVENT ACCESSION NUMBER;
