FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;WIDTH IN METRES;1-5;Decimal;;1.0;In Service;03 Dec 07
2;SHIP BEAM IN METRES;1-2;Integer;THE EXTREME WIDTH OF A SHIP, EXPRESSED IN METRES.;1.0;In Service;03 Dec 07
3;WIDTH IN METRES, 1-9999;1-4;Integer;;1.0;In Service;03 Dec 07
4;VEHICLE WIDTH IN METRES;1-5;Decimal;;1.0;In Service;03 Dec 07
5;OBSTACLE WIDTH IN METRES;1-4;Integer;;1.0;In Service;03 Dec 07
6;WIDTH IN METRES, 1-99999;1-5;Integer;;1.0;In Service;03 Dec 07
7;LANDING SITE WIDTH IN METRES;1-4;Integer;THE DISTANCE BETWEEN THE SIDES OF THE LANDING SITE PARALLEL TO THE AIRCRAFT'S FLIGHT PATH.;1.0;In Service;03 Dec 07
9;DROP ZONE WIDTH IN METRES;1-4;Integer;THE DISTANCE BETWEEN THE SIDES OF THE DROP ZONE PARALLEL TO THE AIRCRAFT'S FLIGHT PATH.;1.0;In Service;03 Dec 07
10;UPPER WIDTH LIMIT IN METRES, 10-9999;2-4;Integer;;1.0;In Service;03 Dec 07
11;LOWER WIDTH LIMIT IN METRES, 10-9999;2-4;Integer;;1.0;In Service;03 Dec 07
13;SEARCH ZONE WIDTH IN METRES, 10-9999;2-4;Integer;;1.0;In Service;03 Dec 07
14;CARGO WIDTH IN METRES;1-2;Integer;;1.0;In Service;03 Dec 07
16;LANE WIDTH IN METRES;1-4;Decimal;;1.0;In Service;03 Dec 07
18;WIDTH IN METRES, 1-999;1-3;Integer;;1.0;In Service;03 Dec 07
19;LANE GAP WIDTH IN METRES;1-5;Decimal;;1.0;In Service;03 Dec 07
20;WATER WIDTH IN METRES;1-3;Integer;;1.0;In Service;03 Dec 07
21;TOTAL GAP WIDTH, INCLUDING WATERWAY, IN METRES;1-3;Integer;;1.0;In Service;03 Dec 07
22;OVERALL WING SPAN IN METRES;1-5;Decimal;GIVES THE OVERALL WIDTH OF AN AIRCRAFT, INCLUDING ITS WINGS, IN METRES. TWO DECIMAL PLACES ARE PERMITTED.;1.0;In Service;03 Dec 07
24;WIDTH OF BEACH IN METRES, 10-9999;2-4;Integer;THE WIDTH OF A BEACH IN METRES FROM 10 -9999.;1.0;In Service;03 Dec 07
