Structure;1-1;2-2;2-2;
FFIRN/FUDN;1246/7;1421/1;1246/8;
FUD Name;NATO EXERCISE ALPHABETIC IDENTIFIER;NATO COMMAND AREA CODES;CONTACT SEQUENTIAL 2-LETTER IDENTIFIER;
