Structure;3-3;1-1;3-3;
FFIRN/FUDN;1255/14;1025/2;1255/14;
FUD Name;ALTITUDE, HUNDREDS OF FEET;HYPHEN;ALTITUDE, HUNDREDS OF FEET;
