Structure;2-2;2-2;2-2;1-1;1-1;3-3;4-4;
FFIRN/FUDN;1000/1;1001/1;1002/1;1003/1;1023/13;1004/1;1005/7;
FUD Name;DAY;HOUR (TIME);MINUTE (TIME);TIME ZONE;CONTEXT QUANTITY, 0-9;MONTH NAME, ABBREVIATED;YEAR;
