FUDN;Name;Size;Type;Explanation;Version;Status;Modified
2;INFORMATION CATEGORIES;4-10;Individual;;1.0;In Service;03 Dec 07
3;OTHER ALPHABETIC CATEGORIES;2-8;Individual;;1.0;In Service;03 Dec 07
4;INFORMATION NUMERIC CATEGORIES;2-2;Individual;;1.0;In Service;03 Dec 07
5;OTHER NUMERIC CATEGORIES;2-2;Individual;;1.0;In Service;03 Dec 07
7;COUNTER-INTELLIGENCE AND SECURITY CATEGORY;5-19;Individual;NONE;1.0;In Service;03 Dec 07
9;BIOGRAPHIC INDICATOR;1-1;Individual;A SINGLE LETTER "B" WHICH IDENTIFIES AN BIOGRAPHIC RECORD.;1.0;In Service;03 Dec 07
10;TARGET INDICATOR;1-1;Individual;A SINGLE LETTER "T" WHICH IDENTIFIES A TARGET RECORD.;1.0;In Service;03 Dec 07
11;EVENT INDICATOR;1-1;Individual;A SINGLE LETTER "E" WHICH IDENTIFIES AN EVENT RECORD.;1.0;In Service;03 Dec 07
12;UNIT INDICATOR;1-1;Individual;A SINGLE LETTER "U" WHICH IDENTIFIES A UNIT RECORD.;1.0;In Service;03 Dec 07
13;EQUIPMENT INDICATOR;1-1;Individual;A SINGLE LETTER "Q" WHICH IDENTIFIES AN EQUIPMENT RECORD.;1.0;In Service;03 Dec 07
15;IMAGERY INDICATOR;1-1;Individual;A SINGLE LETTER "I" WHICH IDENTIFIES AN IMAGERY RECORD.;1.0;In Service;03 Dec 07
