Structure;1-3;3-3;1-2;2-2;1-2;3-3;;
FFIRN/FUDN;1023/3;1008/85;1023/10;1008/86;1023/11;1008/87;;
FUD Name;CONTEXT QUANTITY, 1-999;UNIT OF TIME MEASUREMENT, DAY;CONTEXT QUANTITY, 0-23;UNIT OF TIME MEASUREMENT, HOUR;CONTEXT QUANTITY, 0-59;UNIT OF TIME MEASUREMENT, MINUTE;;
