FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;ALTITUDE IN HUNDREDS OF FEET;3-3;Integer;EG :150;1.0;In Service;03 Dec 07
2;REFUELLING ALTITUDE IN HUNDREDS OF FEET;3-3;Integer;PROVIDES THE ALTITUDE OF REFUELLING EXPRESSED IN HUNDREDS OF FEET.;1.0;In Service;03 Dec 07
3;FRIENDLY AIRCRAFT ALTITUDE IN HUNDREDS OF FEET;3-3;Integer;;1.0;In Service;03 Dec 07
4;MINIMUM ALTITUDE, HUNDREDS OF FEET;3-3;Integer;EG :045;1.0;In Service;03 Dec 07
5;MAXIMUM ALTITUDE, HUNDREDS OF FEET;3-3;Integer;EG :275;1.0;In Service;03 Dec 07
6;CLOUD BASE ALTITUDE IN HUNDREDS OF FEET;1-3;Integer;;1.0;In Service;03 Dec 07
7;CLOUD TOP ALTITUDE IN HUNDREDS OF FEET;1-3;Integer;;1.0;In Service;03 Dec 07
8;TARGET ALTITUDE IN HUNDREDS OF FEET;3-3;Integer;EG :450;1.0;In Service;03 Dec 07
14;ALTITUDE, HUNDREDS OF FEET;3-3;Integer;THE VERTICAL DISTANCE IN HUNDREDS OF FEET ABOVE MEAN SEA LEVEL (MSL) OF AN AIRBORNE OBJECT, LEVEL, OR POINT.;1.0;In Service;03 Dec 07
15;ENEMY ALTITUDE IN HUNDREDS OF FEET;3-3;Integer;THE INITIAL ALTITUDE OF THE ENEMY AIRCRAFT.;1.0;In Service;03 Dec 07
16;INITIAL ALTITUDE IN HUNDREDS OF FEET;3-3;Integer;;1.0;In Service;03 Dec 07
17;AIRCRAFT ALTITUDE IN HUNDREDS OF FEET AT RELEASE;3-3;Integer;THE ALTITUDE OF THE AIRCRAFT AT THE TIME ORDNANCE IS RELEASED.;1.0;In Service;03 Dec 07
18;REPORTING AIRCRAFT ALTITUDE IN HUNDREDS OF FEET;3-3;Integer;THE ALTITUDE OF THE REPORTING AIRCRAFT.;1.0;In Service;03 Dec 07
19;LOST FADED TRACK ALTITUDE IN HUNDREDS OF FEET;3-3;Integer;;1.0;In Service;03 Dec 07
20;TARGET AIRCRAFT ALTITUDE IN HUNDREDS OF FEET;3-3;Integer;;1.0;In Service;03 Dec 07
21;AIRCRAFT ALTITUDE IN HUNDREDS OF FEET;3-3;Integer;;1.0;In Service;03 Dec 07
