Structure;1-3;1-1;1-4;2-2;1-3;;;
FFIRN/FUDN;1012/184;1053/10;1089/5;1130/10;1217/2;;;
FUD Name;Q-ROUTE NUMBER;Q-ROUTE POINT DESIGNATOR;DISTANCE IN NAUTICAL MILES FROM A Q-ROUTE POINT;Q-ROUTE LATERAL DISPLACEMENT QUALIFIER;LATERAL DISPLACEMENT FROM A Q-ROUTE TRACK IN TENS OF YDS;;;
