Structure;3-3;1-1;1-3;3-3
FFIRN/FUDN;1023/2;1024/2;1023/20;1008/81
FUD Name;CONTEXT QUANTITY, 000-359;ANGULAR MEASUREMENT REFERENCE, TRUE;CONTEXT QUANTITY, DECIMAL PT PERMITTED, 3 CHAR MAX;UNIT OF SPEED MEASUREMENT, KNOTS
