Structure;3-5;1-1;3-5;1-1;1-1;2-2;1-1;
FFIRN/FUDN;1128/3;1025/4;1128/3;1025/4;1025/5;1146/2;1025/6;
FUD Name;PHONETIC NUMERIC IDENTIFIER;BLANK SPACE CHARACTER;PHONETIC NUMERIC IDENTIFIER;BLANK SPACE CHARACTER;LEFT PARENTHESIS;ROE NUMERIC INDICATOR (TWO DIGITS);RIGHT PARENTHESIS;
