Structure;2-2;2-2;2-2;1-1;3-3;4-4;1-1;2-2;2-2;2-2;1-1;3-3;4-4;;;
FFIRN/FUDN;1000/1;1001/2;1002/1;1003/2;1004/1;1005/1;1025/2;1000/1;1001/3;1002/1;1003/2;1004/1;1005/1;;;
FUD Name;DAY;START HOUR (TIME);MINUTE (TIME);TIME ZONE ZULU;MONTH NAME, ABBREVIATED;YEAR, 4 DIGIT;HYPHEN;DAY;STOP HOUR (TIME);MINUTE (TIME);TIME ZONE ZULU;MONTH NAME, ABBREVIATED;YEAR, 4 DIGIT;;;
