Structure;1-1;1-1;1-1;1-1;1-1;;;
FFIRN/FUDN;1023/86;1025/2;1023/86;1025/2;1023/86;;;
FUD Name;CONTEXT QUANTITY, 0-6;HYPHEN;CONTEXT QUANTITY, 0-6;HYPHEN;CONTEXT QUANTITY, 0-6;;;
