Structure;4-4;1-1;4-4;1-1;4-4;1-1;5-5;
FFIRN/FUDN;1012/39;1025/2;1029/5;1025/2;1012/261;1025/2;1246/38;
FUD Name;WORLD AREA NUMBER;HYPHEN;RECORD ORIGINATOR;HYPHEN;PLACE ACCESSION NUMBER;HYPHEN;SUFFIX (PLACE KEY);
