Structure;2-3;1-1;2-2;3-3
FFIRN/FUDN;1130/8;1025/2;1130/4;1255/5
FUD Name;ALTITUDE BASE REFERENCE POINT QUALIFIER;HYPHEN;FLIGHT LEVEL DATA QUALIFIER;MAXIMUM ALTITUDE, HUNDREDS OF FEET
