Structure;1-11;3-3;;
FFIRN/FUDN;1023/22;1008/49;;
FUD Name;CONTEXT QUANTITY, DECIMAL PT PERMITTED, 11 CHAR MAX;UNIT OF FREQUENCY MEASUREMENT, KILOHERTZ OR MEGAHERTZ;;
