Structure;2-2;4-4;2-2;1-1;1-1;;;
FFIRN/FUDN;1026/2;1198/1;1012/194;1246/21;1076/3;;;
FUD Name;NATIONALITY;MARITIME COMMAND CODES;MINEFIELD SEQUENTIAL NUMBER;MINEFIELD SEGMENT IDENTIFIER;MINEFIELD PRIORITY;;;
