FUDN;Name;Size;Type;Explanation;Version;Status;Modified
4;GROUNDED MATERIAL WEIGHT IN METRIC TONS;1-4;Integer;;1.0;In Service;03 Dec 07
5;WEIGHT OF THE LARGEST ITEM IN METRIC TONS;1-3;Integer;;1.0;In Service;03 Dec 07
6;CARGO WEIGHT IN METRIC TONS;1-5;Integer;THE WEIGHT OF THE CARGO MEASURED IN METRIC TONS.;1.0;In Service;03 Dec 07
7;STORAGE CAPACITY IN METRIC TONS;1-5;Integer;STORAGE CAPACITY OF THE TARGET.;1.0;In Service;03 Dec 07
9;SERIAL TOTAL WEIGHT IN METRIC TONS;1-5;Integer;;1.0;In Service;03 Dec 07
10;AXLE WEIGHT (LOAD) OF HEAVIEST WHEELED VEHIC. IN METRIC TONS;1-2;Integer;;1.0;In Service;03 Dec 07
11;TOTAL WEIGHT,MAX OF HEAVIEST WHEELED VEHICLE IN METRIC TONS;1-2;Integer;;1.0;In Service;03 Dec 07
12;MAXIMUM PERMITTED TOTAL WEIGHT OF HEAVIEST WHEELED VEHICLE;1-2;Integer;;1.0;In Service;03 Dec 07
13;MAXIMUM PERMITTED TOTAL WEIGHT OF HEAVIEST TRACKED VEHICLE;1-2;Integer;;1.0;In Service;03 Dec 07
15;MAXIMUM AXLE WEIGHT FOR WHEELED VEHICLE IN METRIC TONS;1-2;Integer;WEIGHT OF THE HEAVIEST SINGLE AXLE.;1.0;In Service;03 Dec 07
