FUDN;Name;Size;Type;Explanation;Version;Status;Modified
2;PSYOPS CAPABILITY;5-5;Individual;;1.0;In Service;03 Dec 07
3;CAPABILITY OF VEHICLE TO BE TOWED;1-1;Individual;;1.0;In Service;03 Dec 07
4;BOARDING TEAM CAPABILITY;7-9;Individual;;1.0;In Service;03 Dec 07
5;WARFARE DISCIPLINE CAPABILITY;1-2;Individual;ENTER IN IF THE UNIT IS "CAPABLE" OR "NOT CAPABLE" OF THAT WARFARE DISCIPLINE.;1.0;In Service;03 Dec 07
6;SUBMARINE ASUW ENABLER;1-4;Individual;SENSORS AND WEAPONS PERTAINING TO THE ASUW WARFARE DISCIPLINE.;1.0;In Service;03 Dec 07
7;SUBMARINE AAW ENABLER;2-2;Individual;SENSORS AND WEAPONS PERTAINING TO THE AAW WARFARE DISCIPLINE.;1.0;In Service;03 Dec 07
8;SUBMARINE STRIKE ENABLER;4-6;Individual;STRIKE SENSORS AND WEAPONS.;1.0;In Service;03 Dec 07
9;SUBMARINE SUPPORT ENABLER;3-6;Individual;SENSORS AND WEAPONS PERTAINING TO THE SUPPORT ROLE.;1.0;In Service;03 Dec 07
10;SUBMARINE MINE WARFARE ENABLER;1-3;Individual;WEAPONS AND SENSORS PERTAINING TO THE MINE WARFARE MODE OF OPERATION.;1.0;In Service;03 Dec 07
11;SUBMARINE CSAR ENABLER;1-2;Individual;WEAPONS AND SENSORS PERTAINING TO THE COMBAT SEARCH AND RESCUE MODE OF OPERATION.;1.0;In Service;03 Dec 07
12;SUBMARINE MIO ENABLER;3-6;Individual;WEAPONS AND SENSORS PERTAINING TO THE MARITIME INTERDICTION OPERATIONS MODE.;1.0;In Service;03 Dec 07
13;SUBMARINE SPECIAL OPS ENABLER;2-4;Individual;WEAPONS AND SENSORS PERTAINING TO THE SPECIAL OPERATIONS MODE.;1.0;In Service;03 Dec 07
14;SUBMARINE SURVEILLANCE ENABLER;3-6;Individual;WEAPONS AND SENSORS PERTAINING TO THE SURVEILLANCE OPS MODE.;1.0;In Service;03 Dec 07
15;SUBMARINE ASW ENABLER;1-3;Individual;WEAPONS AND SENSORS PERTAINING TO THE ASW OPS MODE.;1.0;In Service;03 Dec 07
