FUDN;Name;Size;Type;Explanation;Version;Status;Modified
2;LINK TYPE, GENERAL;1-3;Individual;DESCRIBES THE NATURE OF THE LINK BETWEEN TWO OR MORE NODES IN A NETWORK.;1.0;In Service;03 Dec 07
3;TYPE OF WASTE;1-20;Instructive;THE TYPE OF WASTE THAT MAY BE TRANSFERRED AT THE SPECIFIED STATION.;1.0;In Service;03 Dec 07
4;ITEM TYPE;1-4;Individual;;1.0;In Service;03 Dec 07
5;ROAD MOVEMENT TYPE;2-4;Individual;SPECIFIES WHETHER THE MOVE CONTAINED IN THE MESSAGE IS FULLY PLANNED, PRECAUTIONARY OR OTHER .;1.0;In Service;03 Dec 07
6;TYPE OF GROUND FIRE ENCOUNTERED;1-30;Instructive;;1.0;In Service;03 Dec 07
7;RADAR WARNING RECEIVER AUDIO TYPE;1-38;Instructive;THE RADAR WARNING RECEIVER AUDIO TYPE HEARD DURING ENGAGEMENT.;1.0;In Service;03 Dec 07
8;TYPE OF FORMATION;1-25;Instructive;;1.0;In Service;03 Dec 07
9;AMMUNITION TYPE;1-68;Instructive;;1.0;In Service;03 Dec 07
10;ENGINE TYPE, ANALYSTS DESCRIPTION;1-68;Instructive;PROVIDES IN FREE TEXT THE DESCRIPTION OF AN ENGINE IN INTELLIGENCE TERMS.;1.0;In Service;03 Dec 07
12;LINK DATA TYPE;2-7;Individual;;1.0;In Service;03 Dec 07
13;MEDIA TYPE OF IDENTIFICATION;2-5;Individual;THE TYPE OF MEDIA USED BY THE AIRCRAFT TO COLLECT, STORE, AND PUBLISH DATA DURING MISSION OPERATIONS.;1.0;In Service;03 Dec 07
14;SURFACE-TO-AIR FIRE TYPE;3-5;Individual;THE TYPE OF ENEMY SURFACE-TO-AIR FIRE FRIENDLY AIRCRAFT ENCOUNTERED DURING FLIGHT OPERATIONS.;1.0;In Service;03 Dec 07
15;GUIDANCE TYPE;6-8;Individual;THE TYPE OF GUIDANCE USED BY EMPLOYED WEAPONS SYSTEMS AGAINST ENGAGED TARGETS.;1.0;In Service;03 Dec 07
16;TYPE OF BREATHING APPARATUS;1-20;Instructive;;1.0;In Service;03 Dec 07
