Structure;1-4;3-3;;
FFIRN/FUDN;1390/3;1008/63;;
FUD Name;CONTEXT QUANTITY, K PERMITTED, 4 CHARACTERS MAX;VOLUME UNIT OF MEASUREMENT FOR AIR CARGO;;
