FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;DATA LINK TRACK NUMBER;4-5;Alphanumeric;A 4- OR 5-CHARACTER ALPHANUMERIC IDENTIFIER ASSIGNED TO LINK 11, LINK 11B OR LINK 16 DATA LINK UNITS AND TRACKS.;1.0;In Service;03 Dec 07
2;DATA LINK TRACK NUMBER BLOCK, LOWER LIMIT;4-5;Alphanumeric;A 4- OR 5-CHARACTER ALPHANUMERIC IDENTIFIER DENOTING THE LOWER LIMIT OF A BLOCK OF TRACK NUMBERS USED IN LINK 11, LINK 11B OR LINK 16 DATA LINK OPERATIONS.;1.0;In Service;03 Dec 07
3;DATA LINK TRACK NUMBER BLOCK, UPPER LIMIT;4-5;Alphanumeric;A 4- OR 5-CHARACTER ALPHANUMERIC IDENTIFIER DENOTING THE UPPER LIMIT OF A BLOCK OF TRACK NUMBERS USED IN LINK 11, LINK 11B OR LINK 16 DATA LINK OPERATIONS.;1.0;In Service;03 Dec 07
4;AIRCRAFT TRACK NUMBER;1-5;Instructive;2 ATAF TRACK NUMBERING CONVENTION.;1.0;In Service;03 Dec 07
5;COMMON NATO TRACK NUMBER;5-5;Instructive;;1.0;In Service;03 Dec 07
6;COMMON NATO TRACK NUMBER, 6 DIGIT;6-6;Instructive;;1.0;In Service;03 Dec 07
7;NATO TRACK NUMBER ROOT;2-2;Alphanumeric;THE 2-CHARACTER ALPHABETIC PREFIX USED IN A LINK 1 TRACK NUMBER.;1.0;In Service;03 Dec 07
9;LINK 1 TRACK NUMBER BLOCK, LOWER LIMIT;5-5;Alphanumeric;A 5-CHARACTER ALPHANUMERIC REFERENCE DENOTING THE LOWER LIMIT OF A BLOCK OF UNIT ADDRESSES OR TRACK NUMBERS IN A LINK 1 TACTICAL DATA LINK.;1.0;In Service;03 Dec 07
10;LINK 1 TRACK NUMBER BLOCK, UPPER LIMIT;5-5;Alphanumeric;A 5-CHARACTER ALPHANUMERIC REFERENCE DENOTING THE UPPER LIMIT OF A BLOCK OF UNIT ADDRESSES OR TRACK NUMBERS IN A LINK 1 TACTICAL DATA LINK.;1.0;In Service;03 Dec 07
11;LINK 1 REPORTING UNIT NUMBER;5-5;Alphanumeric;A 5-CHARACTER ALPHANUMERIC REFERENCE ASSIGNED AS A UNIT ADDRESS IN A LINK 1 TACTICAL DATA LINK.;1.0;In Service;03 Dec 07
