Structure;1-1;1-4;1-2;1-1
FFIRN/FUDN;1246/10;1023/12;1008/13;1023/13
FUD Name;ALPHABETIC IDENTIFIER, UPPER LIMIT;CONTEXT QUANTITY, 1-9999;UNIT OF LINEAR MEASUREMENT, FEET OR METRES;CONTEXT QUANTITY, 0-9
