Ligne;N° Set;Type élément;Segment;Ensemble;Zone;SS Zone;FFIRN/FUDN;Card.;Longueur;Libellé;Entité MPGT de départ {Entité de l'attribut};Entité MPGT instanciée {Entité de l'attribut};Attribut MPGT
;-;11..11;VERTICAL DIMENSION, FLIGHT LEVEL TO FLIGHT LEVEL;MPGT.PlanificationOperation3D;MPIA.DistanceVerticale;APourObjectif{MPIA.ObjectifActivite}#AssocieCommeInstanceObjet{MPIA.AutreElementControle}#EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.CylindreGeometrique}#APourPlafond{MPIA.DistanceVerticale}#MPIA.DistanceVerticale.Reference
89.b;;COMP. FIELD;ADAREA;EFFLEVEL;1;;2099/002
;-;11..11;VERTICAL DIMENSION, FLIGHT LEVEL TO FLIGHT LEVEL;MPGT.PlanificationOperation3D;MPIA.DistanceVerticale;APourObjectif{MPIA.ObjectifActivite}#AssocieCommeInstanceObjet{MPIA.AutreElementControle}#EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.CylindreGeometrique}#APourPlafond{MPIA.DistanceVerticale}#MPIA.DistanceVerticale.Reference
89.c;;COMP. FIELD;ADAREA;EFFLEVEL;1;;2099/002
;-;11..11;VERTICAL DIMENSION, FLIGHT LEVEL TO FLIGHT LEVEL;MPGT.PlanificationOperation3D;MPIA.DistanceVerticale;APourObjectif{MPIA.ObjectifActivite}#AssocieCommeInstanceObjet{MPIA.AutreElementControle}#EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.CylindreGeometrique}#APourPlafond{MPIA.DistanceVerticale}#MPIA.DistanceVerticale.Reference
89.d;;COMP. FIELD;ADAREA;EFFLEVEL;1;;2099/002
;-;11..11;VERTICAL DIMENSION, FLIGHT LEVEL TO FLIGHT LEVEL;MPGT.PlanificationOperation3D;MPIA.DistanceVerticale;APourObjectif{MPIA.ObjectifActivite}#AssocieCommeInstanceObjet{MPIA.AutreElementControle}#EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.CylindreGeometrique}#APourPlafond{MPIA.DistanceVerticale}#MPIA.DistanceVerticale.Reference
83;;SET;ADAREA;APERIOD;;;;M - 1;;AIRSPACE TIME PERIOD;MPGT.PlanificationOperation3D;MPIA.Periode3D;APourObjectif{MPIA.ObjectifActivite}#AssocieCommeInstanceObjet{MPIA.MesureCoordination}#EstValidePour{MPIA.Periode3D}
84;;FIELD;ADAREA;APERIOD;1;;1220/019;M - 1;8..8;AIRSPACE TIME MODE;NON_TRACE;;
85;;COMP. FIELD;ADAREA;APERIOD;2;;2030/003;M - 1;10..10;DAY-TIME AND MONTH OF START;MPGT.PlanificationOperation3D;MPIA.Periode3D;APourObjectif{MPIA.ObjectifActivite}#AssocieCommeInstanceObjet{MPIA.MesureCoordination}#EstValidePour{MPIA.Periode3D}#MPIA.Periode3D.DateDebut
86;;COMP. FIELD;ADAREA;APERIOD;3;;2030/004;M - 1;10..10;DAY-TIME AND MONTH OF STOP;MPGT.PlanificationOperation3D;MPIA.Periode3D;APourObjectif{MPIA.ObjectifActivite}#AssocieCommeInstanceObjet{MPIA.MesureCoordination}#EstValidePour{MPIA.Periode3D}#MPIA.Periode3D.DateFin
87;;COMP. FIELD;ADAREA;APERIOD;3;;1220/008;M - 1;3..7;STOP TIME QUALIFIER;MPGT.PlanificationOperation3D;MPIA.Periode3D;APourObjectif{MPIA.ObjectifActivite}#AssocieCommeInstanceObjet{MPIA.MesureCoordination}#EstValidePour{MPIA.Periode3D}#MPIA.Periode3D.QualificatifDateFin
88;;FIELD;ADAREA;APERIOD;4;;1346/003;C - 1;5..18;INTERVAL FREQUENCY;NON_TRACE;;
89;;COMP. FIELD;ADAREA;APERIOD;5;;2525/001;C - 1;3..7;INTERVAL DURATION;NON_TRACE;;
90;;COMP. FIELD;ADAREA;APERIOD;5;;1220/005;C - 1;3..3;TIME QUALIFIER UNTIL FURTHER NOTICE;NON_TRACE;;
91;;COMP. FIELD;ADAREA;APERIOD;5;;2033/024;C - 1;14..14;DTG OF COMPLETION, 4 DIGIT YR;NON_TRACE;;
92;;SET;ATO;BCASTPNT;;;;O - N;;BROADCAST POINT;;;
93;;;;;;;;;;;;;
94;;SET;ATO;IDCHKPNT;;;;O - N;;IDENTIFICATION CHECK POINT;;;
95;;;;;;;;;;;;;
96;;SET;ATO;IDCRIT;;;;O - N;;IDENTIFICATION CRITERIA;;;
97;;;;;;;;;;;;;
98;;SET;ATO;HEADING;;;;C - 1;;HEADING INFORMATION;;;
99;;;;;;;;;;;;;
100;;SET;ATO;NAVFLTOP;;;;O - N;;NAVAL FLIGHT OPERATIONS TIMES;;;
101;;;;;;;;;;;;;
102;;SEGMENT;FYFCE;;;;;? - N;;FRIENDLY FORCES;;;
103;;SET;FYFCE;FYFCE;;;;M - 1;;FRIENDLY FORCES;;;
104;;;;;;;;;;;;;
105;;SET;FYFCE;AAXIS;;;;O - 1;;ANTI-AIR WARFARE AXIS INFORMATION;;;
106;;;;;;;;;;;;;
107;;SEGMENT;FYPOS;;;;;? - N;;FRIENDLY FORCES POSITION;;;
108;;SET;FYPOS;FYPOS;;;;M - 1;;FRIENDLY FORCES POSITION;;;
109;;;;;;;;;;;;;
110;;SET;FYPOS;CASPCAT;;;;O - 1;;COORDINATED AIR/SEA PROCEDURES CATEGORY;;;
111;;;;;;;;;;;;;
112;;SET;FYPOS;IFF;;;;O - 1;;IFF OR SIF SETTING;;;
113;;;;;;;;;;;;;
114;;SEGMENT;AOTRP;;;;;? - N;;AIR OPERATIONS TIMING REFERENCE POINT;;;
115;;SET;AOTRP;AOTRP;;;;M - 1;;AIR OPERATIONS TIMING REFERENCE POINT;;;
116;;;;;;;;;;;;;
117;;SET;AOTRP;7AOFDAT;;;;O - 1;;AIR OPERATIONS TIMING REFERENCE POINT (TRP) FLOW DATA;;;
118;;;;;;;;;;;;;
119;;SET;ATO;CNXMSN;;;;O - N;;CANCELLED MISSION;;;
120;;;;;;;;;;;;;
121;;SET;ATO;HEADING;;;;M - 1;;HEADING INFORMATION;;;
122;;;;;;;;;;;;;
123;;SEGMENT;TSKGRPG;;;;;? - N;;TASK GROUPING;;;
124;;SET;TSKGRPG;TSKGRPG;;;;M - 1;;TASK GROUPING;;;
125;;;;;;;;;;;;;
126;;SET;TSKGRPG;POC;;;;O - 1;;POINT OF CONTACT INFORMATION;MPIA.Personne;;
127;;FIELD;TSKGRPG;POC;1;;1022/007;M - 1;1..20;CONTACT NAME;MPIA.Personne;MPIA.Personne{MPIA.RacineOperationnelle};MPIA.RacineOperationnelle.Nom
128;;FIELD;TSKGRPG;POC;2;;1046/002;M - 1;1..16;RANK OR POSITION;MPIA.Personne;MPIA.TypePersonne;APourType{MPIA.AssociationInstanceObjetType}#AssocieCommeType{MPIA.TypePersonne}#MPIA.TypePersonne.Grade
129;;FIELD;TSKGRPG;POC;3;;1022/057;M - 1;1..30;UNIT;MPIA.Personne;MPIA.Unite;EstObjet{MPGT.AssociationEntiteOrgPersonne}#APourSujet{MPIA.Unite}
130;;FIELD;TSKGRPG;POC;3;;1129/033;M - 1;1..38;UNIT CALL SIGN;MPIA.Personne;MPIA.AssociationInstanceObjetAdresse;EstObjet{MPGT.AssociationEntiteOrgPersonne}#APourSujet{MPIA.Unite}#AssocieCommeAdresse{MPIA.AssociationInstanceObjetAdresse}#MPIA.AssociationInstanceObjetAdresse.Designation
131;;FIELD;TSKGRPG;POC;3;;2141/001;M - 1;7..9;UNIT IDENTIFICATION CODE (UIC);MPIA.Personne;MPIA.Unite{MPIA.EntiteOrganisationnelle};EstObjet{MPGT.AssociationEntiteOrgPersonne}#APourSujet{MPIA.Unite}#MPGT.EntiteOrganisationnelle.CodeIdentification
132;;COMP. FIELD;TSKGRPG;POC;4;;2024/001;M - 1;15..15;GEOGRAPHIC POSITION, LAT/LONG, SECONDS;MPIA.Personne;MPGT.LocalisationGeometrique2D;EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.LocalisationGeometrique2D}
133;;COMP. FIELD;TSKGRPG;POC;4;;2086/001;M - 1;13..13;GEOGRAPHIC POSITION, UTM 10-METRE;MPIA.Personne;MPGT.LocalisationGeometrique2D;EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.LocalisationGeometrique2D}
134;;COMP. FIELD;TSKGRPG;POC;4;;1022/004;M - 1;1..20;LOCATION NAME;MPIA.Personne;MPGT.LocalisationGeometrique2D;EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.LocalisationGeometrique2D}#MPGT.Localisation.Lieu
135;;REPET. GROUP;TSKGRPG;POC;-;;1361/003;-;;TELEPHONE NUMBER OR FREQUENCY;MPIA.Personne;MPIA.AssociationInstanceObjetAdresse;AssocieCommeAdresse{MPIA.AssociationInstanceObjetAdresse}
136;;FIELD;TSKGRPG;POC;5;;1361/003;M - N;3..20;NON-SECURE TELEPHONE;MPIA.Personne;MPIA.AutreAdresse{MPIA.Adresse};AssocieCommeAdresse{MPIA.AssociationInstanceObjetAdresse}#AssocieCommeObjet{MPIA.AutreAdresse}#MPIA.Adresse.Libelle
137;;FIELD;TSKGRPG;POC;5;;1361/004;M - N;4..20;SECURE TELEPHONE NUMBER;MPIA.Personne;MPIA.AutreAdresse{MPIA.Adresse};AssocieCommeAdresse{MPIA.AssociationInstanceObjetAdresse}#AssocieCommeObjet{MPIA.AutreAdresse}#MPIA.Adresse.Libelle
138;;FIELD;TSKGRPG;POC;5;;2064/001;M - N;3..14;RADIO FREQUENCY;MPIA.Personne;MPIA.Frequence;AssocieCommeAdresse{MPIA.AssociationInstanceObjetAdresse}#AssocieCommeObjet{MPIA.AdresseRadio}#APourFrequence{MPIA.Frequence}
139;;SS ZONE;TSKGRPG;POC;5;1;1023/022;;1..11;CONTEXT QUANTITY, DECIMAL PT PERMITTED, 11 CHAR MAX;MPIA.Personne;MPIA.Frequence;AssocieCommeAdresse{MPIA.AssociationInstanceObjetAdresse}#AssocieCommeObjet{MPIA.AdresseRadio}#APourFrequence{MPIA.Frequence}#MPIA.Frequence.Frequence
140;;SS ZONE;TSKGRPG;POC;5;2;1008/002;;2..3;UNIT OF ELECTROMAGNETIC EMISSION MEASUREMENT;-;-;-
141;;FIELD;TSKGRPG;POC;5;;1396/001;M - N;1..8;FREQUENCY DESIGNATOR;MPIA.Personne;MPIA.Frequence;AssocieCommeAdresse{MPIA.AssociationInstanceObjetAdresse}#AssocieCommeObjet{MPIA.AdresseRadio}#APourFrequence{MPIA.Frequence}#MPIA.Frequence.NomCode
142;;FIELD;TSKGRPG;POC;5;;2498/001;M - N;2..8;FREQUENCY MODE AND NUMERIC;NON_TRACE;;NON_TRACE
143;;FIELD;TSKGRPG;POC;5;;2533/001;M - N;3..7;LINK 16 VOICE PARAMETERS;MPIA.Personne;MPIA.AdresseElectronique;AssocieCommeAdresse{MPIA.AssociationInstanceObjetAdresse}#AssocieCommeObjet{MPIA.AdresseElectronique}
144;;FIELD;TSKGRPG;POC;5;;2534/001;M - N;18..49;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;NON_TRACE;;NON_TRACE
145;;FIELD;TSKGRPG;POC;5;;2535/001;M - N;12..18;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;NON_TRACE;;NON_TRACE
146;;FIELD;TSKGRPG;POC;5;;1183/007;M - N;1..60;ELECTRONIC MAIL ADDRESS;MPIA.Personne;MPIA.AutreAdresse{MPIA.Adresse};AssocieCommeAdresse{MPIA.AssociationInstanceObjetAdresse}#AssocieCommeObjet{MPIA.AutreAdresse}#MPIA.Adresse.Libelle
147;;FIELD;TSKGRPG;POC;5;;1361/007;M - N;3..20;NON-SECURE FACSIMILE (FAX) NUMBER;MPIA.Personne;MPIA.AutreAdresse{MPIA.Adresse};AssocieCommeAdresse{MPIA.AssociationInstanceObjetAdresse}#AssocieCommeObjet{MPIA.AutreAdresse}#MPIA.Adresse.Libelle
148;;FIELD;TSKGRPG;POC;5;;1361/008;M - N;4..20;SECURE FACSIMILE (FAX) NUMBER;MPIA.Personne;MPIA.AutreAdresse{MPIA.Adresse};AssocieCommeAdresse{MPIA.AssociationInstanceObjetAdresse}#AssocieCommeObjet{MPIA.AutreAdresse}#MPIA.Adresse.Libelle
149;;SEGMENT;TASKUNIT;;;;;? - N;;TASKED UNIT AND LOCATION;;;
150;;SET;TASKUNIT;TASKUNIT;;;;M - 1;;TASKED UNIT AND LOCATION;MPIA.Unite;;
151;;FIELD;TASKUNIT;TASKUNIT;1;;1026/016;M - 1;2..2;GEOGRAPHIC ENTITIES, NOTIONAL AND ACTUAL;MPIA.Unite;MPIA.EntitePolitique;EstAffilieA{MPIA.AssociationAffiliationInstanceObjet}#ConcerneAffiliation{MPIA.EntitePolitique}#MPIA.EntitePolitique.Trigramme
152;;FIELD;TASKUNIT;TASKUNIT;2;;1107/002;M - 1;1..1;ARMED SERVICE CODE;MPIA.Unite;MPIA.TypeUnite{MPIA.TypeOrganisationGouvernementale};APourType{MPIA.AssociationInstanceObjetType}#AssocieCommeType{MPIA.TypeUnite}#MPIA.TypeOrganisationGouvernementale.Armee
153;;FIELD;TASKUNIT;TASKUNIT;3;;1028/041;M - 1;1..30;TASKED UNIT DESIGNATOR;MPIA.Unite;MPIA.Unite{MPIA.RacineOperationnelle};MPIA.RacineOperationnelle.Nom
154;;FIELD;TASKUNIT;TASKUNIT;3;;2141/001;M - 1;7..9;UNIT IDENTIFICATION CODE (UIC);MPIA.Unite;MPIA.Unite{MPIA.EntiteOrganisationnelle};MPGT.EntiteOrganisationnelle.CodeIdentification
155;;FIELD;TASKUNIT;TASKUNIT;4;;1125/002;O - 1;4..4;ICAO BASE CODE;MPIA.Unite;MPIA.Aerodrome;EstSujet{MPGT.AssociationEntiteOrgSite}#APourObjet{MPIA.Aerodrome}#MPIA.Aerodrome.CodeOACI
156;;FIELD;TASKUNIT;TASKUNIT;4;;1022/170;O - 1;1..20;PLACE NAME;MPIA.Unite;MPIA.Localisation(NON INST);EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPIA.Localisation}#MPGT.Localisation.Lieu
157;;FIELD;TASKUNIT;TASKUNIT;4;;2023/001;O - 1;11..11;GEOGRAPHIC POSITION, LAT/LONG, MINUTES;MPIA.Unite;MPGT.LocalisationGeometrique2D;EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.LocalisationGeometrique2D}
158;;FIELD;TASKUNIT;TASKUNIT;5;;1357/001;O - 1;1..68;COMMENTS;MPIA.Unite;MPIA.Unite{MPIA.RacineOperationnelle};MPIA.RacineOperationnelle.Commentaire
159;;SET;TASKUNIT;UNITDIR;;;;O - 1;;UNIT DIRECTIVES;;;
160;;FIELD;TASKUNIT;UNITDIR;1;;1044/360;C - 1;4..4;AIRCRAFT SORTIES EXPECTED;MPIA.Unite;MPGT.UniteAir;APourCaracteristiquesUniteAir{MPGT.UniteAir}#MPGT.UniteAir.NombreSortiesAeronefsAttendues
161;;FIELD;TASKUNIT;UNITDIR;2;;1044/361;C - 1;3..3;AIRCRAFT SORTIES TASKED;MPIA.Unite;MPGT.UniteAir;APourCaracteristiquesUniteAir{MPGT.UniteAir}#MPGT.UniteAir.NombreSortiesAeronefsExecutees
162;;REPET. GROUP;TASKUNIT;UNITDIR;;;;;;NUMBER OF ASSETS, 000-999;_;_;_
163;;FIELD;TASKUNIT;UNITDIR;3;;1044/321;M - N;3..3;NUMBER OF ASSETS, 000-999;MPIA.Unite{MPIA.InstanceObjet};MPIA.DotationEffective;APourDotationEffective{MPIA.DotationEffective}#MPIA.DotationEffective.QuantiteTotale
164;;FIELD;TASKUNIT;UNITDIR;4.A;;1015/020;M - N;2..6;AIRCRAFT TYPE AND MODEL;MPIA.Unite{MPIA.InstanceObjet};MPIA.TypeAeronef(NON INST);APourDotationEffective{MPIA.DotationEffective}#AssocieCommeType{MPIA.TypeAeronef}#MPIA.TypeAeronef.Modele
165;;FIELD;TASKUNIT;UNITDIR;4.B;;1015/018;M - N;2..6;AIRCRAFT TYPE AND MODEL, OTHER;MPIA.Unite{MPIA.InstanceObjet};MPIA.TypeAeronef(NON INST){MPIA.RacineOperationnelle};APourDotationEffective{MPIA.DotationEffective}#AssocieCommeType{MPIA.TypeAeronef}#MPIA.RacineOperationnelle.Nom
166;;FIELD;TASKUNIT;UNITDIR;4.C;;1022/108;M - N;1..19;NAME OF ASSETS;MPIA.Unite{MPIA.InstanceObjet};MPIA.TypeEquipement(NON INST){MPIA.RacineOperationnelle};APourDotationEffective{MPIA.DotationEffective}#AssocieCommeType{MPIA.TypeEquipement}#MPIA.RacineOperationnelle.Nom
167.a;;FIELD;TASKUNIT;UNITDIR;4.D;;1407/002;M - N;3..6;ORDNANCE/WEAPON TYPE, SURFACE-TO-AIR;MPIA.Unite{MPIA.InstanceObjet};MPIA.TypeArme;APourDotationEffective{MPIA.DotationEffective}#AssocieCommeType{MPIA.TypeArme}#MPIA.TypeArme.Categorie
167.b;;FIELD;TASKUNIT;UNITDIR;4.D;;1407/002;M - N;3..6;ORDNANCE/WEAPON TYPE, SURFACE-TO-AIR;MPIA.Unite{MPIA.InstanceObjet};MPIA.TypeArme;{MPIA.Unite}#APourDotationEffective{MPIA.DotationEffective}#AssocieCommeType{MPIA.TypeArme}#MPIA.TypeArme.SousCategorie
168.a;;FIELD;TASKUNIT;UNITDIR;4.E;;1874/004;M - N;2..4;COMMAND AND CONTROL TYPE;MPIA.Unite{MPIA.InstanceObjet};MPIA.AutreTypeSite;APourDotationEffective{MPIA.DotationEffective}#AssocieCommeType{MPIA.AutreTypeSite}#MPIA.AutreTypeSite.Categorie
168.b;;FIELD;TASKUNIT;UNITDIR;4.E;;1874/004;M - N;2..4;COMMAND AND CONTROL TYPE;MPIA.Unite{MPIA.InstanceObjet};MPIA.TypeEntiteOrganisationnelle(NON INST);APourType{MPIA.AssociationInstanceObjetType}#AssocieCommeType{MPIA.TypeEntiteOrganisationnelle}#MPIA.TypeEntiteOrganisationnelle.TypeCommandement
168.c;;FIELD;TASKUNIT;UNITDIR;4.E;;1874/004;M - N;2..4;COMMAND AND CONTROL TYPE;MPIA.Unite{MPIA.InstanceObjet};MPIA.TypeEquipementElectronique;APourDotationEffective{MPIA.DotationEffective}#AssocieCommeType{MPIA.TypeEquipementElectronique}#MPIA.TypeEquipementElectronique.Categorie
168.d;;FIELD;TASKUNIT;UNITDIR;4.E;;1874/004;M - N;2..4;COMMAND AND CONTROL TYPE;MPIA.Unite{MPIA.InstanceObjet};MPIA.TypePosteMilitaire;APourDotationEffective{MPIA.DotationEffective}#AssocieCommeType{MPIA.TypePosteMilitaire}#MPIA.TypePosteMilitaire.Categorie
168.e;;FIELD;TASKUNIT;UNITDIR;4.E;;1874/004;M - N;2..4;COMMAND AND CONTROL TYPE;MPIA.Unite{MPIA.InstanceObjet};MPIA.TypeRegroupementForce;APourType{MPIA.AssociationInstanceObjetType}#AssocieCommeType{MPIA.TypeRegroupementForce}#MPIA.TypeRegroupementForce.Categorie
169.a;;FIELD;TASKUNIT;UNITDIR;4.F;;1434/001;M - N;2..6;SENSOR TYPE;MPIA.Unite{MPIA.InstanceObjet};MPIA.TypeEquipementElectronique;APourDotationEffective{MPIA.DotationEffective}#AssocieCommeType{MPIA.TypeEquipementElectronique}#MPIA.TypeEquipementElectronique.Categorie
169.b;;FIELD;TASKUNIT;UNITDIR;4.F;;1434/001;M - N;2..6;SENSOR TYPE;MPIA.Unite{MPIA.InstanceObjet};MPIA.TypeEquipementElectronique;APourDotationEffective{MPIA.DotationEffective}#AssocieCommeType{MPIA.TypeEquipementElectronique}#MPIA.TypeEquipementElectronique.SousCategorie
169.c;;FIELD;TASKUNIT;UNITDIR;4.F;;1434/001;M - N;2..6;SENSOR TYPE;MPIA.Unite{MPIA.InstanceObjet};MPIA.TypeEquipementMaritime;APourDotationEffective{MPIA.DotationEffective}#AssocieCommeType{MPIA.TypeEquipementMaritime}#MPIA.TypeEquipementMaritime.Categorie
169.d;;FIELD;TASKUNIT;UNITDIR;4.F;;1434/001;M - N;2..6;SENSOR TYPE;MPIA.Unite{MPIA.InstanceObjet};MPIA.TypeEquipementMaritime;APourDotationEffective{MPIA.DotationEffective}#AssocieCommeType{MPIA.TypeEquipementMaritime}#MPIA.TypeEquipementMaritime.SousCategorie
170.a;;FIELD;TASKUNIT;UNITDIR;4.G;;1135/033;M - N;8..8;SURFACE-TO-AIR WEAPON RESOURCE TYPE;MPIA.Unite{MPIA.InstanceObjet};MPIA.TypeArme;APourDotationEffective{MPIA.DotationEffective}#AssocieCommeType{MPIA.TypeArme}#MPIA.TypeArme.SousCategorie
170.b;;FIELD;TASKUNIT;UNITDIR;4.G;;1135/033;M - N;8..8;SURFACE-TO-AIR WEAPON RESOURCE TYPE;MPIA.Unite{MPIA.InstanceObjet};MPIA.TypeEquipementElectronique;APourDotationEffective{MPIA.DotationEffective}#AssocieCommeType{MPIA.TypeEquipementElectronique}#MPIA.TypeEquipementElectronique.Categorie
171.a;;FIELD;TASKUNIT;UNITDIR;4.H;;1812/001;M - N;3..8;CONTROL POSITION TYPE;MPIA.Unite{MPIA.InstanceObjet};MPIA.AutreTypeElementControle;EstSujet{MPGT.AssociationEntiteOrgEltCtrl}#APourObjet{MPIA.AutreElementControle}#APourType{MPIA.AssociationInstanceObjetType}#AssocieCommeType{MPIA.AutreTypeElementControle}#MPIA.AutreTypeElementControle.Categorie
171.b;;FIELD;TASKUNIT;UNITDIR;4.H;;1812/001;M - N;3..8;CONTROL POSITION TYPE;MPIA.Unite{MPIA.InstanceObjet};MPIA.AutreTypeElementControle;EstSujet{MPGT.AssociationEntiteOrgEltCtrl}#APourObjet{MPIA.AutreElementControle}#APourType{MPIA.AssociationInstanceObjetType}#AssocieCommeType{MPIA.AutreTypeElementControle}#MPIA.AutreTypeElementControle.SousCategorie
172;;SET;TASKUNIT;GEODATUM;;;;O - 1;;GEODETIC DATUM;;;
173;;;;;;;;;;;;;
174;;SET;TASKUNIT;POC;;;;O - 1;;POINT OF CONTACT INFORMATION;MPIA.Personne;;
175;;FIELD;TASKUNIT;POC;1;;1022/007;M - 1;1..20;CONTACT NAME;MPIA.Personne;MPIA.Personne{MPIA.RacineOperationnelle};MPIA.RacineOperationnelle.Nom
176;;FIELD;TASKUNIT;POC;2;;1046/002;M - 1;1..16;RANK OR POSITION;MPIA.Personne;MPIA.TypePersonne;APourType{MPIA.AssociationInstanceObjetType}#AssocieCommeType{MPIA.TypePersonne}#MPIA.TypePersonne.Grade
177;;FIELD;TASKUNIT;POC;3;;1022/057;M - 1;1..30;UNIT;MPIA.Personne;MPIA.Unite;EstObjet{MPGT.AssociationEntiteOrgPersonne}#APourSujet{MPIA.Unite}
178;;FIELD;TASKUNIT;POC;3;;1129/033;M - 1;1..38;UNIT CALL SIGN;MPIA.Personne;MPIA.AssociationInstanceObjetAdresse;EstObjet{MPGT.AssociationEntiteOrgPersonne}#APourSujet{MPIA.Unite}#AssocieCommeAdresse{MPIA.AssociationInstanceObjetAdresse}#MPIA.AssociationInstanceObjetAdresse.Designation
179;;FIELD;TASKUNIT;POC;3;;2141/001;M - 1;7..9;UNIT IDENTIFICATION CODE (UIC);MPIA.Personne;MPIA.Unite{MPIA.EntiteOrganisationnelle};EstObjet{MPGT.AssociationEntiteOrgPersonne}#APourSujet{MPIA.Unite}#MPGT.EntiteOrganisationnelle.CodeIdentification
180;;COMP. FIELD;TASKUNIT;POC;4;;2024/001;M - 1;15..15;GEOGRAPHIC POSITION, LAT/LONG, SECONDS;MPIA.Personne;MPGT.LocalisationGeometrique2D;EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.LocalisationGeometrique2D}
181;;COMP. FIELD;TASKUNIT;POC;4;;2086/001;M - 1;13..13;GEOGRAPHIC POSITION, UTM 10-METRE;MPIA.Personne;MPGT.LocalisationGeometrique2D;EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.LocalisationGeometrique2D}
182;;COMP. FIELD;TASKUNIT;POC;4;;1022/004;M - 1;1..20;LOCATION NAME;MPIA.Personne;MPGT.LocalisationGeometrique2D{MPIA.Localisation};EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.LocalisationGeometrique2D}#MPGT.Localisation.Lieu
183;;REPET. GROUP;TASKUNIT;POC;-;;1361/003;-;;TELEPHONE NUMBER OR FREQUENCY;MPIA.Personne;MPIA.AssociationInstanceObjetAdresse;AssocieCommeAdresse{MPIA.AssociationInstanceObjetAdresse}
184;;FIELD;TASKUNIT;POC;5;;1361/003;M - N;3..20;NON-SECURE TELEPHONE;MPIA.Personne;MPIA.AutreAdresse{MPIA.Adresse};AssocieCommeAdresse{MPIA.AssociationInstanceObjetAdresse}#AssocieCommeObjet{MPIA.AutreAdresse}#MPIA.Adresse.Libelle
185;;FIELD;TASKUNIT;POC;5;;1361/004;M - N;4..20;SECURE TELEPHONE NUMBER;MPIA.Personne;MPIA.AutreAdresse{MPIA.Adresse};AssocieCommeAdresse{MPIA.AssociationInstanceObjetAdresse}#AssocieCommeObjet{MPIA.AutreAdresse}#MPIA.Adresse.Libelle
186;;FIELD;TASKUNIT;POC;5;;2064/001;M - N;3..14;RADIO FREQUENCY;MPIA.Personne;MPIA.Frequence;AssocieCommeAdresse{MPIA.AssociationInstanceObjetAdresse}#AssocieCommeObjet{MPIA.AdresseRadio}#APourFrequence{MPIA.Frequence}
187;;SS ZONE;TASKUNIT;POC;5;1;1023/022;;1..11;CONTEXT QUANTITY, DECIMAL PT PERMITTED, 11 CHAR MAX;MPIA.Personne;MPIA.Frequence;AssocieCommeAdresse{MPIA.AssociationInstanceObjetAdresse}#AssocieCommeObjet{MPIA.AdresseRadio}#APourFrequence{MPIA.Frequence}#MPIA.Frequence.Frequence
188;;SS ZONE;TASKUNIT;POC;5;2;1008/002;;2..3;UNIT OF ELECTROMAGNETIC EMISSION MEASUREMENT;-;-;-
189;;FIELD;TASKUNIT;POC;5;;1396/001;M - N;1..8;FREQUENCY DESIGNATOR;MPIA.Personne;MPIA.Frequence;AssocieCommeAdresse{MPIA.AssociationInstanceObjetAdresse}#AssocieCommeObjet{MPIA.AdresseRadio}#APourFrequence{MPIA.Frequence}#MPIA.Frequence.NomCode
190;;FIELD;TASKUNIT;POC;5;;2498/001;M - N;2..8;FREQUENCY MODE AND NUMERIC;NON_TRACE;;NON_TRACE
191;;FIELD;TASKUNIT;POC;5;;2533/001;M - N;3..7;LINK 16 VOICE PARAMETERS;MPIA.Personne;MPIA.AdresseElectronique;AssocieCommeAdresse{MPIA.AssociationInstanceObjetAdresse}#AssocieCommeObjet{MPIA.AdresseElectronique}
192;;FIELD;TASKUNIT;POC;5;;2534/001;M - N;18..49;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;NON_TRACE;;NON_TRACE
193;;FIELD;TASKUNIT;POC;5;;2535/001;M - N;12..18;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;NON_TRACE;;NON_TRACE
194;;FIELD;TASKUNIT;POC;5;;1183/007;M - N;1..60;ELECTRONIC MAIL ADDRESS;MPIA.Personne;MPIA.AutreAdresse{MPIA.Adresse};AssocieCommeAdresse{MPIA.AssociationInstanceObjetAdresse}#AssocieCommeObjet{MPIA.AutreAdresse}#MPIA.Adresse.Libelle
