Ligne;N° Set;Type élément;Segment;Ensemble;Zone;SS Zone;FFIRN/FUDN;Card.;Longueur;Libellé;Entité MPGT de départ {Entité de l'attribut};Entité MPGT instanciée {Entité de l'attribut};Attribut MPGT
41;;COMP. FIELD;ATO;POC;4.A;;2024/001;M - 1;15..15;GEOGRAPHIC POSITION, LAT/LONG, SECONDS;MPGT.PlanificationOperation3D;MPGT.LocalisationGeometrique2D;EstObjet{MPIA.AssociationInstanceObjetActivite}#APourSujet{MPIA.Personne}#EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.LocalisationGeometrique2D}
42;;COMP. FIELD;ATO;POC;4.B;;2086/001;M - 1;13..13;GEOGRAPHIC POSITION, UTM 10-METRE;MPGT.PlanificationOperation3D;MPGT.LocalisationGeometrique2D;EstObjet{MPIA.AssociationInstanceObjetActivite}#APourSujet{MPIA.Personne}#EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.LocalisationGeometrique2D}
43;;FIELD;ATO;POC;4.C;;1022/004;M - 1;1..20;LOCATION NAME;MPGT.PlanificationOperation3D;MPGT.LocalisationGeometrique2D;EstObjet{MPIA.AssociationInstanceObjetActivite}#APourSujet{MPIA.Personne}#EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.LocalisationGeometrique2D}#MPGT.Localisation.Lieu
44;;REPET. GROUP;ATO;POC;-;;1361/003;-;;TELEPHONE NUMBER OR FREQUENCY;MPGT.PlanificationOperation3D;MPIA.AutreAdresse;EstObjet{MPIA.AssociationInstanceObjetActivite}#APourSujet{MPIA.Personne}#AssocieCommeAdresse{MPIA.AssociationInstanceObjetAdresse}
45;;FIELD;ATO;POC;5.A;;1361/003;M - N;3..20;NON-SECURE TELEPHONE;MPGT.PlanificationOperation3D;MPIA.AutreAdresse{MPIA.Adresse};EstObjet{MPIA.AssociationInstanceObjetActivite}#APourSujet{MPIA.Personne}#AssocieCommeAdresse{MPIA.AssociationInstanceObjetAdresse}#AssocieCommeObjet{MPIA.AutreAdresse}#MPIA.Adresse.Libelle
46;;FIELD;ATO;POC;5.B;;1361/004;M - N;4..20;SECURE TELEPHONE NUMBER;MPGT.PlanificationOperation3D;MPIA.AutreAdresse{MPIA.Adresse};EstObjet{MPIA.AssociationInstanceObjetActivite}#APourSujet{MPIA.Personne}#AssocieCommeAdresse{MPIA.AssociationInstanceObjetAdresse}#AssocieCommeObjet{MPIA.AutreAdresse}#MPIA.Adresse.Libelle
47;;FIELD;ATO;POC;5.C;;2064/001;M - N;3..14;RADIO FREQUENCY;MPGT.PlanificationOperation3D;MPIA.Frequence;EstObjet{MPIA.AssociationInstanceObjetActivite}#APourSujet{MPIA.Personne}#AssocieCommeAdresse{MPIA.AssociationInstanceObjetAdresse}#AssocieCommeObjet{MPIA.AdresseRadio}#APourFrequence{MPIA.Frequence}
48;;SS ZONE;ATO;POC;5.C;1;1023/022;;1..11;CONTEXT QUANTITY, DECIMAL PT PERMITTED, 11 CHAR MAX;MPGT.PlanificationOperation3D;MPIA.Frequence;EstObjet{MPIA.AssociationInstanceObjetActivite}#APourSujet{MPIA.Personne}#AssocieCommeAdresse{MPIA.AssociationInstanceObjetAdresse}#AssocieCommeObjet{MPIA.AdresseRadio}#APourFrequence{MPIA.Frequence}#MPIA.Frequence.Frequence
49;;SS ZONE;ATO;POC;5.C;2;1008/002;;2..3;UNIT OF ELECTROMAGNETIC EMISSION MEASUREMENT;-;-;-
50;;FIELD;ATO;POC;5.D;;1396/001;M - N;1..8;FREQUENCY DESIGNATOR;MPGT.PlanificationOperation3D;MPIA.Frequence;EstObjet{MPIA.AssociationInstanceObjetActivite}#APourSujet{MPIA.Personne}#AssocieCommeAdresse{MPIA.AssociationInstanceObjetAdresse}#AssocieCommeObjet{MPIA.AdresseRadio}#APourFrequence{MPIA.Frequence}#MPIA.Frequence.NomCode
51;;FIELD;ATO;POC;5.E;;2498/001;M - N;2..8;FREQUENCY MODE AND NUMERIC;NON_TRACE;;NON_TRACE
52;;FIELD;ATO;POC;5.F;;2533/001;M - N;3..7;LINK 16 VOICE PARAMETERS;MPGT.PlanificationOperation3D;MPIA.AdresseElectronique;EstObjet{MPIA.AssociationInstanceObjetActivite}#APourSujet{MPIA.Personne}#AssocieCommeAdresse{MPIA.AssociationInstanceObjetAdresse}#AssocieCommeObjet{MPIA.AdresseElectronique}
53;;FIELD;ATO;POC;5.G;;2534/001;M - N;18..49;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;NON_TRACE;;NON_TRACE
54;;FIELD;ATO;POC;5.H;;2535/001;M - N;12..18;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;NON_TRACE;;NON_TRACE
