FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;ICAO BASE CODE;;;1A;ICAO BASE CODE;;1125/2;4-4;M
2;LOCATION OPERATIONAL CONDITION CODE;;;2A;LOCATION OPERATIONAL CONDITION CODE;LOC;1575/2;3-3;M
3;WEATHER OPERATIONAL CONDITION CODE;;;3A;WEATHER OPERATIONAL CONDITION CODE;WX;1575/3;3-3;M
4;FUEL OPERATIONAL CONDITION CODE;;;4A;FUEL OPERATIONAL CONDITION CODE;FUEL;1575/4;3-3;M
5;NAVIGATION AID OPERATIONAL CONDITION CODE;;;5A;NAVIGATION AID OPERATIONAL CONDITION CODE;NAV;1575/5;3-3;M
6;COMMUNICATION OPERATIONAL CONDITION CODE;;;6A;COMMUNICATION OPERATIONAL CONDITION CODE;COMM;1575/6;3-3;M
