FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;CIRCLE CENTRE;;;1A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;12-22;M
2;RADIUS, M, KM, NM;;;2A;RADIUS, M, KM, NM;;2118;2-7;M
