FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;LUBRICATION OIL TYPE;;;1A;LUBRICATION OIL TYPE;;1803/6;4-6;M*
2;AMOUNT OF OIL RECEIVED IN LITRES;;;2A;AMOUNT OF OIL RECEIVED IN LITRES;;1907/7;1-5;M*
