FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;NUMBER OF MULTIPLEX TX/RX CHANNELS;;;1A;NUMBER OF MULTIPLEX TX/RX CHANNELS;;2378;3-7;M
2;TONE KEY NUMBER AND TYPE;;;2A;TONE KEY NUMBER AND TYPE;;2379;3-8;M*
3;NUMBER AND TYPE OF FREQUENCY SHIFT CONVERTER;;;3A;NUMBER AND TYPE OF FREQUENCY SHIFT CONVERTER;;2380;3-10;M*
