FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;LOCATION MARKING METHOD;;;1A;LOCATION MARKING METHOD;;1363/14;1-15;O
2;WEATHER CONDITION;;;2A;WEATHER CONDITION;;1386/4;1-1;O
;WEATHER CONDITION;;;2B;SEA STATE;SEA;1392/1;;
3;DEPTH IN METRES;;;3A;DEPTH IN METRES;;1247/1;1-5;O
