FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;BATTLEFIELD GEOMETRY TYPE;;;1A;BATTLEFIELD GEOMETRY TYPE;;1284/12;2-5;M
2;BATTLEFIELD GEOMETRY TYPE NAME;;;2A;BATTLEFIELD GEOMETRY TYPE NAME;;1022/250;1-6;C
