FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;NATO STOCK NUMBER;;;1A;NATO STOCK NUMBER;;1012/61;16-16;M
2;SHORT TITLE;;;2A;SHORT TITLE;;1022/87;3-12;M
3;UNIT OF MEASUREMENT, STOCK ITEM;;;3A;UNIT OF MEASUREMENT, STOCK ITEM;;1008/51;1-3;M
4;QUANTITY OF ITEMS;;;4A;CONTEXT QUANTITY, 1-999999;REQUEST;1023/23;1-6;M
;QUANTITY OF ITEMS;;;4B;CONTEXT QUANTITY, 0-999999;ISSUED;1023/7;;
