FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;BATHYTHERMOGRAPH TEMPERATURE, DEGREES CELSIUS OR FAHRENHEIT;;;1A;BATHYTHERMOGRAPH TEMPERATURE, DEGREES CELSIUS OR FAHRENHEIT;;2131;2-6;M*
2;REPORTED DEPTH, FEET OR METRES, DECIMAL PERMITTED;;;2A;REPORTED DEPTH, FEET OR METRES, DECIMAL PERMITTED;;2264;2-7;M*
