FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;LINK 16 TERMINAL TEST MODE;;;1A;LINK 16 TERMINAL TEST MODE;;1593/2;5-6;M
2;INTERFERENCE PROTECTION FEATURE OVERRIDE;;;2A;INTERFERENCE PROTECTION FEATURE OVERRIDE;;1593/5;3-6;M
3;LINK 16 RANGE MODE;;;3A;LINK 16 RANGE MODE;;1593/4;3-3;M
4;LINK 16 COMMUNICATIONS MODE;;;4A;LINK 16 COMMUNICATIONS MODE;;1593/3;6-6;M
