FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;PRIMARY FREQUENCY;;;1A;PRIMARY FREQUENCY;;2064;3-14;M
2;ALTERNATE FREQUENCY;;;2A;ALTERNATE FREQUENCY;;2064;3-14;M
