FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;DTG MOVEMENT TO START;;;1A;DTG MOVEMENT TO START;;2033;14-14;O
2;DTG MOVEMENT TO END;;;2A;DTG MOVEMENT TO END;;2033;14-14;O
