FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;UNIT IDENTIFICATION CODE (UIC);;;1A;UNIT IDENTIFICATION CODE (UIC);;2141;7-9;M
2;EFFECT ON RADAR COVERAGE;;;2A;EFFECT ON RADAR COVERAGE;;2027;11-11;M
3;EFFECT ON CONTROL CAPABILITY;;;3A;EFFECT ON CONTROL CAPABILITY;;2029;11-11;M
