FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;PHONETIC ALPHABETIC IDENTIFIER;;;1A;PHONETIC ALPHABETIC IDENTIFIER;;1128/2;4-8;M
2;ZONE ORIGIN;;;2A;UNIT;;1022/57;1-30;M
;ZONE ORIGIN;;;2B;ORIGIN PLACE NAME;PLACE;1022/109;;
3;RADIUS IN NAUTICAL MILES;;;3A;RADIUS IN NAUTICAL MILES;;1580/6;1-3;M
4;CROSSOVER ZONE WIDTH IN NM;;;4A;CROSSOVER ZONE WIDTH IN NM;;1669/2;1-2;O
