FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;COMMUNICATIONS CIRCUIT DESIGNATOR;;;1A;COMMUNICATIONS CIRCUIT DESIGNATOR;;1305/2;5-8;M
2;FREQUENCY IN MHZ, 000.1 TO 999.9;;;2A;FREQUENCY IN MHZ, 000.1 TO 999.9;;1068/15;3-5;M
3;CIRCUIT USE DESCRIPTION;;;3A;CIRCUIT USE DESCRIPTION;;1363/23;1-20;M
4;ENCRYPTION INDICATOR;;;4A;ENCRYPTION INDICATOR;;1027/69;2-3;M
