FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;SURFACED SPEED IN KNOTS;;;1A;SURFACED SPEED IN KNOTS;SURF;1061/24;1-2;M
2;SUBMERGED SPEED IN KNOTS;;;2A;SUBMERGED SPEED IN KNOTS;SUBM;1061/25;1-2;M
