FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;HOSTILE BATTERY DIRECTION INDICATION;;;1A;OBSERVER-FLASH SOUND AZIMUTH TO HOSTILE BATTERY IN MILS;;1048/13;4-4;M
;HOSTILE BATTERY DIRECTION INDICATION;;;1B;DIRECTION OF SHELL GROOVE IN MILS;DSG;1048/12;;
2;DISTANCE IN METRES FROM OBSERVER TO HOSTILE BATTERY;;;2A;DISTANCE IN METRES FROM OBSERVER TO HOSTILE BATTERY;;1052/5;1-5;C
3;FLASH-TO-BANG TIME IN SECONDS;;;3A;FLASH-TO-BANG TIME IN SECONDS;;1073/3;1-3;C
