FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;COMPUTER METEOROLOGICAL ZONE CODE;;;1A;COMPUTER METEOROLOGICAL ZONE CODE;;1685/2;2-2;M*
2;WIND DIRECTION AND SPEED;;;2A;WIND DIRECTION AND SPEED;;2418;6-6;M*
3;AIR TEMPERATURE AND PRESSURE;;;3A;AIR TEMPERATURE AND PRESSURE;;2419;8-8;M*
