FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;SEARCH TYPE;;;1A;SEARCH TYPE;;1553/4;4-6;M
2;TARGET OF INTEREST LOCATED;;;2A;TARGET OF INTEREST LOCATED;;1359/23;1-1;C
3;TARGET DIFFICULTY FACTOR;;;3A;TARGET DIFFICULTY FACTOR;;1707/3;1-1;C
4;TIME LATE/AOP SIZE DIFFICULTY;;;4A;TIME LATE AOP SIZE DIFFICULTY;;1707/4;1-1;C
5;TOTAL NUMBER OF CONTACTS DETECTED;;;5A;TOTAL NUMBER OF CONTACTS DETECTED;;1044/338;1-2;M
6;NUMBER OF HIGH INTEREST CONTACTS DETECTED;;;6A;NUMBER OF HIGH INTEREST CONTACTS DETECTED;;1044/342;1-2;M
7;PERCENTAGE OF AREA SEARCHED/COVERED;;;7A;PERCENTAGE OF AREA SEARCHED COVERED;;1064/53;1-3;M
8;QUALITY OF TACTICS EMPLOYED;;;8A;QUALITY OF TACTICS EMPLOYED;;1675/4;1-1;M
